id,gender,jobTitle,edu,perfEval,seniority,basePay,bonus
35,Male,IT,PhD,4,5,279412.2,27941.22
36,Male,Graphic Designer,High School,1,2,138222.24,13822.224
37,Male,IT,PhD,2,2,180065.64,18006.564
38,Male,Software Engineer,College,5,3,208598,20859.8
39,Male,Financial Analyst,College,2,2,157885.2,15788.52
40,Male,Driver,High School,1,2,138496.62,13849.662
41,Male,Manager,Masters,1,1,185117.78,18511.778
42,Male,Driver,High School,1,1,137138.81,13713.881
43,Male,Graphic Designer,College,5,3,176165.6,17616.56
44,Male,IT,PhD,5,2,217320.6,21732.06
45,Male,Manager,College,2,1,186915.04,18691.504
46,Male,Manager,College,4,3,222860.24,22286.024
47,Male,Marketing Associate,College,5,3,167661,16766.1
48,Male,Warehouse Associate,High School,5,1,140814.45,14081.445
49,Male,Manager,College,3,3,212076.68,21207.668
50,Male,Manager,PhD,5,2,251616.4,25161.64
51,Male,IT,PhD,4,5,279412.2,27941.22
52,Male,Software Engineer,PhD,3,5,256736,25673.6
160,Male,Data Scientist,PhD,4,3,238287.4,23828.74
54,Male,Graphic Designer,College,4,1,146352.96,14635.296
55,Male,Driver,High School,3,2,143927.86,14392.786
56,Male,Warehouse Associate,High School,2,1,136791.18,13679.118
57,Male,Manager,PhD,4,5,323506.8,32350.68
58,Male,Driver,High School,4,2,146643.48,14664.348
59,Male,Financial Analyst,Masters,5,4,233904,23390.4
60,Male,Financial Analyst,Masters,3,3,185661.3,18566.13
61,Male,IT,Masters,2,2,173856.48,17385.648
62,Male,Warehouse Associate,High School,1,1,135450.09,13545.009
63,Male,Marketing Associate,High School,5,2,141867,14186.7
173,Male,Data Scientist,PhD,3,1,180325.6,18032.56
65,Male,Marketing Associate,College,4,1,139287.6,13928.76
66,Male,Software Engineer,College,1,1,163669.2,16366.92
67,Male,IT,PhD,3,2,192483.96,19248.396
68,Male,IT,Masters,4,3,211111.44,21111.144
69,Male,Manager,College,1,2,186915.04,18691.504
70,Male,Warehouse Associate,College,3,1,142155.54,14215.554
71,Male,Graphic Designer,College,5,3,176165.6,17616.56
72,Male,Software Engineer,College,4,3,198970.4,19897.04
73,Male,Manager,PhD,2,2,208482.16,20848.216
74,Male,Graphic Designer,College,3,3,159904.16,15990.416
75,Male,Manager,Masters,2,1,190509.56,19050.956
76,Male,Sales Associate,High School,3,1,146780.15,14678.015
77,Male,IT,PhD,1,4,180065.64,18006.564
78,Male,Marketing Associate,High School,5,1,135418.5,13541.85
79,Male,Software Engineer,PhD,3,4,237480.8,23748.08
189,Male,Data Scientist,PhD,5,3,257608,25760.8
81,Male,IT,Masters,4,3,211111.44,21111.144
196,Male,Data Scientist,PhD,2,2,186765.8,18676.58
209,Male,Data Scientist,PhD,5,3,257608,25760.8
84,Male,Manager,PhD,3,3,244427.36,24442.736
85,Male,IT,College,4,1,167647.32,16764.732
211,Male,Data Scientist,PhD,2,3,199646.2,19964.62
87,Male,Graphic Designer,High School,1,1,136867.12,13686.712
88,Male,Graphic Designer,College,4,2,157193.92,15719.392
89,Male,Driver,High School,2,2,141212.24,14121.224
90,Male,Graphic Designer,College,5,2,162614.4,16261.44
91,Male,Sales Associate,High School,4,1,148205.2,14820.52
92,Male,Sales Associate,High School,1,1,143930.05,14393.005
93,Male,IT,Masters,3,1,169199.61,16919.961
94,Male,Software Engineer,PhD,2,3,198970.4,19897.04
95,Male,Graphic Designer,College,4,3,168034.88,16803.488
216,Male,Data Scientist,PhD,1,3,180325.6,18032.56
97,Male,IT,PhD,2,5,217320.6,21732.06
98,Male,Software Engineer,Masters,1,1,165273.8,16527.38
99,Male,Manager,College,1,2,186915.04,18691.504
100,Male,Manager,Masters,2,5,233643.8,23364.38
101,Male,Manager,Masters,2,4,222860.24,22286.024
102,Male,Warehouse Associate,High School,3,1,138132.27,13813.227
103,Male,Graphic Designer,High School,1,1,136867.12,13686.712
104,Male,Sales Associate,College,4,1,153905.4,15390.54
105,Male,Software Engineer,PhD,2,4,211807.2,21180.72
106,Male,Marketing Associate,College,5,3,167661,16766.1
107,Male,Sales Associate,College,3,3,168155.9,16815.59
108,Male,Manager,Masters,2,5,233643.8,23364.38
109,Male,Software Engineer,College,1,3,170087.6,17008.76
110,Male,Warehouse Associate,High School,1,2,136791.18,13679.118
231,Male,Data Scientist,PhD,5,3,257608,25760.8
112,Male,Driver,High School,3,1,139854.43,13985.443
113,Male,Software Engineer,Masters,5,4,256736,25673.6
235,Male,Data Scientist,PhD,5,2,225407,22540.7
115,Male,Software Engineer,College,4,3,198970.4,19897.04
116,Male,Software Engineer,PhD,5,2,224644,22464.4
117,Male,Warehouse Associate,High School,4,2,144837.72,14483.772
118,Male,Financial Analyst,Masters,5,1,168118.5,16811.85
258,Male,Data Scientist,PhD,5,3,257608,25760.8
120,Male,Manager,PhD,2,3,222860.24,22286.024
121,Male,IT,PhD,3,1,173856.48,17385.648
122,Male,Software Engineer,College,4,3,198970.4,19897.04
123,Male,Sales Associate,College,3,3,168155.9,16815.59
124,Male,Software Engineer,PhD,2,2,186133.6,18613.36
125,Male,Software Engineer,PhD,3,2,198970.4,19897.04
126,Male,Software Engineer,Masters,1,1,165273.8,16527.38
127,Male,Financial Analyst,College,4,3,181275.6,18127.56
291,Male,Data Scientist,PhD,4,3,238287.4,23828.74
129,Male,Marketing Associate,High School,2,1,131549.4,13154.94
130,Male,Manager,College,5,3,233643.8,23364.38
131,Male,Manager,PhD,4,1,208482.16,20848.216
132,Male,Financial Analyst,Masters,1,5,168118.5,16811.85
133,Male,Software Engineer,PhD,2,3,198970.4,19897.04
134,Male,Financial Analyst,College,4,3,181275.6,18127.56
135,Male,Manager,College,1,3,190509.56,19050.956
136,Male,Sales Associate,High School,5,2,156755.5,15675.55
137,Male,Manager,College,3,3,212076.68,21207.668
138,Male,Graphic Designer,College,1,1,138222.24,13822.224
139,Male,IT,Masters,5,4,248366.4,24836.64
140,Male,Graphic Designer,College,3,3,159904.16,15990.416
141,Male,Financial Analyst,Masters,2,1,154961.4,15496.14
142,Male,Marketing Associate,College,2,1,134128.8,13412.88
143,Male,Graphic Designer,High School,2,1,138222.24,13822.224
144,Male,Warehouse Associate,High School,4,1,139473.36,13947.336
145,Male,Marketing Associate,High School,3,1,132839.1,13283.91
146,Male,IT,PhD,4,1,180065.64,18006.564
147,Male,Driver,High School,1,2,138496.62,13849.662
148,Male,Manager,PhD,5,5,359452,35945.2
149,Male,IT,PhD,1,1,161438.16,16143.816
319,Male,Data Scientist,PhD,2,1,173885.4,17388.54
151,Male,Software Engineer,Masters,3,1,174901.4,17490.14
152,Male,Software Engineer,PhD,2,3,198970.4,19897.04
153,Male,Software Engineer,PhD,4,3,237480.8,23748.08
154,Male,Marketing Associate,College,1,2,134128.8,13412.88
155,Male,Software Engineer,College,2,3,179715.2,17971.52
156,Male,Driver,High School,4,1,141212.24,14121.224
157,Male,Manager,Masters,5,2,233643.8,23364.38
158,Male,Driver,High School,1,2,138496.62,13849.662
159,Male,Marketing Associate,College,4,3,159922.8,15992.28
327,Male,Data Scientist,PhD,5,1,193206,19320.6
161,Male,Software Engineer,PhD,4,3,237480.8,23748.08
162,Male,IT,Masters,3,2,183170.22,18317.022
163,Male,Warehouse Associate,High School,2,1,136791.18,13679.118
164,Male,Financial Analyst,Masters,3,4,198818.4,19881.84
165,Male,Manager,PhD,3,4,265994.48,26599.448
166,Male,Manager,College,5,3,233643.8,23364.38
167,Male,Marketing Associate,College,2,2,139287.6,13928.76
168,Male,Driver,High School,2,1,138496.62,13849.662
169,Male,Sales Associate,High School,4,2,153905.4,15390.54
170,Male,Sales Associate,College,1,2,148205.2,14820.52
171,Male,Software Engineer,College,3,2,179715.2,17971.52
172,Male,Graphic Designer,High School,1,2,138222.24,13822.224
393,Male,Data Scientist,PhD,3,3,218966.8,21896.68
174,Male,Sales Associate,High School,1,2,145355.1,14535.51
424,Male,Data Scientist,PhD,4,3,238287.4,23828.74
176,Male,Manager,Masters,2,5,233643.8,23364.38
177,Male,Sales Associate,College,4,3,176706.2,17670.62
178,Male,Graphic Designer,High School,4,1,140932.48,14093.248
179,Male,Graphic Designer,High School,2,1,138222.24,13822.224
180,Male,Driver,High School,1,2,138496.62,13849.662
181,Male,Driver,High School,1,2,138496.62,13849.662
182,Male,Graphic Designer,High School,3,1,139577.36,13957.736
183,Male,IT,PhD,5,2,217320.6,21732.06
184,Male,Manager,College,2,3,201293.12,20129.312
185,Male,Software Engineer,PhD,5,1,192552,19255.2
186,Male,Marketing Associate,High School,5,2,141867,14186.7
187,Male,Warehouse Associate,High School,3,2,142155.54,14215.554
188,Male,Warehouse Associate,High School,5,1,140814.45,14081.445
426,Male,Data Scientist,PhD,5,3,257608,25760.8
190,Male,Manager,College,2,3,201293.12,20129.312
191,Male,Software Engineer,Masters,1,3,174901.4,17490.14
192,Male,Graphic Designer,High School,1,2,138222.24,13822.224
193,Male,IT,Masters,5,3,225082.05,22508.205
194,Male,Marketing Associate,College,3,2,144446.4,14444.64
195,Male,Software Engineer,PhD,3,1,179715.2,17971.52
441,Male,Data Scientist,PhD,1,3,180325.6,18032.56
197,Male,Software Engineer,Masters,5,1,184529,18452.9
198,Male,Manager,PhD,3,3,244427.36,24442.736
199,Male,Software Engineer,Masters,2,4,198970.4,19897.04
200,Male,Manager,College,1,3,190509.56,19050.956
461,Male,Data Scientist,PhD,1,1,167445.2,16744.52
202,Male,Software Engineer,Masters,5,2,208598,20859.8
203,Male,Graphic Designer,High School,4,2,146352.96,14635.296
204,Male,Marketing Associate,High School,3,1,132839.1,13283.91
205,Male,IT,Masters,3,2,183170.22,18317.022
206,Male,Financial Analyst,College,5,3,190047,19004.7
207,Male,Software Engineer,PhD,5,3,256736,25673.6
208,Male,Warehouse Associate,College,2,3,150202.08,15020.208
470,Male,Data Scientist,PhD,5,3,257608,25760.8
210,Male,IT,Masters,5,1,178513.35,17851.335
500,Male,Data Scientist,PhD,3,2,199646.2,19964.62
212,Male,IT,Masters,3,5,225082.05,22508.205
213,Male,Sales Associate,College,4,1,153905.4,15390.54
214,Male,Software Engineer,College,1,3,170087.6,17008.76
215,Male,Sales Associate,College,3,3,168155.9,16815.59
544,Male,Data Scientist,PhD,2,2,186765.8,18676.58
217,Male,Manager,Masters,4,1,201293.12,20129.312
218,Male,IT,College,3,3,183170.22,18317.022
219,Male,Marketing Associate,College,1,2,134128.8,13412.88
220,Male,Manager,PhD,4,2,237238.32,23723.832
221,Male,Driver,High School,4,1,141212.24,14121.224
222,Male,Graphic Designer,High School,2,2,140932.48,14093.248
223,Male,Marketing Associate,High School,3,2,136708.2,13670.82
224,Male,Warehouse Associate,High School,4,2,144837.72,14483.772
225,Male,Sales Associate,High School,2,2,148205.2,14820.52
226,Male,Financial Analyst,College,3,3,172504.2,17250.42
227,Male,Financial Analyst,College,4,2,169580.4,16958.04
228,Male,Software Engineer,College,1,2,166878.4,16687.84
229,Male,Graphic Designer,College,3,1,143642.72,14364.272
230,Male,IT,PhD,3,5,248366.4,24836.64
572,Male,Data Scientist,PhD,4,3,238287.4,23828.74
232,Male,Warehouse Associate,College,5,1,147519.9,14751.99
233,Male,Warehouse Associate,College,3,1,142155.54,14215.554
234,Male,Manager,Masters,2,3,212076.68,21207.668
575,Male,Data Scientist,PhD,4,1,186765.8,18676.58
236,Male,Software Engineer,PhD,5,1,192552,19255.2
237,Male,Marketing Associate,High School,3,1,132839.1,13283.91
238,Male,Financial Analyst,College,1,2,152037.6,15203.76
239,Male,Financial Analyst,Masters,4,2,181275.6,18127.56
240,Male,Financial Analyst,Masters,2,3,172504.2,17250.42
241,Male,IT,College,3,3,183170.22,18317.022
242,Male,Sales Associate,College,5,3,185256.5,18525.65
243,Male,Software Engineer,College,4,2,186133.6,18613.36
244,Male,IT,PhD,1,3,173856.48,17385.648
578,Male,Data Scientist,PhD,1,1,167445.2,16744.52
246,Male,Software Engineer,Masters,1,4,179715.2,17971.52
247,Male,IT,Masters,3,1,169199.61,16919.961
248,Male,Sales Associate,High School,4,2,153905.4,15390.54
249,Male,Software Engineer,Masters,2,3,189342.8,18934.28
250,Male,Manager,PhD,2,2,208482.16,20848.216
251,Male,Warehouse Associate,High School,1,2,136791.18,13679.118
252,Male,Driver,High School,3,1,139854.43,13985.443
253,Male,Software Engineer,PhD,4,2,211807.2,21180.72
254,Male,Sales Associate,High School,1,2,145355.1,14535.51
255,Male,Software Engineer,PhD,4,3,237480.8,23748.08
256,Male,Warehouse Associate,College,4,3,166295.16,16629.516
594,Male,Data Scientist,PhD,2,3,199646.2,19964.62
603,Male,Data Scientist,PhD,2,3,199646.2,19964.62
259,Male,Software Engineer,Masters,5,3,232667,23266.7
260,Male,IT,Masters,1,5,178513.35,17851.335
261,Male,Manager,College,1,2,186915.04,18691.504
262,Male,Marketing Associate,High School,4,1,134128.8,13412.88
263,Male,Graphic Designer,College,4,3,168034.88,16803.488
264,Male,Graphic Designer,College,5,3,176165.6,17616.56
265,Male,Financial Analyst,Masters,1,4,163732.8,16373.28
266,Male,Financial Analyst,Masters,2,1,154961.4,15496.14
617,Male,Data Scientist,PhD,5,3,257608,25760.8
268,Male,Financial Analyst,Masters,2,1,154961.4,15496.14
269,Male,Financial Analyst,Masters,5,2,190047,19004.7
270,Male,Manager,Masters,1,3,195901.34,19590.134
271,Male,Driver,High School,2,2,141212.24,14121.224
272,Male,Software Engineer,PhD,5,3,256736,25673.6
273,Male,Warehouse Associate,High School,4,2,144837.72,14483.772
274,Male,Financial Analyst,Masters,4,4,216361.2,21636.12
275,Male,Graphic Designer,High School,1,2,138222.24,13822.224
276,Male,Financial Analyst,Masters,1,2,154961.4,15496.14
277,Male,Sales Associate,High School,5,1,149630.25,14963.025
278,Male,Graphic Designer,High School,2,2,140932.48,14093.248
279,Male,IT,Masters,2,2,173856.48,17385.648
280,Male,Sales Associate,College,5,3,185256.5,18525.65
281,Male,Financial Analyst,Masters,3,5,211975.5,21197.55
282,Male,Marketing Associate,High School,3,1,132839.1,13283.91
619,Male,Data Scientist,PhD,5,3,257608,25760.8
284,Male,Sales Associate,College,3,3,168155.9,16815.59
285,Male,Financial Analyst,Masters,3,3,185661.3,18566.13
625,Male,Data Scientist,PhD,5,3,257608,25760.8
643,Male,Data Scientist,PhD,1,3,180325.6,18032.56
659,Male,Data Scientist,PhD,5,3,257608,25760.8
289,Male,Software Engineer,PhD,4,3,237480.8,23748.08
290,Male,Financial Analyst,College,1,3,154961.4,15496.14
680,Male,Data Scientist,PhD,3,2,199646.2,19964.62
292,Male,IT,College,4,3,192483.96,19248.396
293,Male,Software Engineer,PhD,4,1,186133.6,18613.36
294,Male,Sales Associate,High School,3,2,151055.3,15105.53
295,Male,Software Engineer,PhD,3,3,218225.6,21822.56
296,Male,Marketing Associate,College,4,1,139287.6,13928.76
691,Male,Data Scientist,PhD,5,1,193206,19320.6
298,Male,Manager,College,5,3,233643.8,23364.38
299,Male,Software Engineer,College,4,1,173296.8,17329.68
300,Male,Sales Associate,High School,4,2,153905.4,15390.54
696,Male,Data Scientist,PhD,2,2,186765.8,18676.58
302,Male,Marketing Associate,High School,5,1,135418.5,13541.85
303,Male,Software Engineer,Masters,5,4,256736,25673.6
704,Male,Data Scientist,PhD,5,1,193206,19320.6
305,Male,Manager,PhD,1,1,186915.04,18691.504
306,Male,Marketing Associate,High School,2,1,131549.4,13154.94
307,Male,Manager,PhD,1,4,208482.16,20848.216
308,Male,Software Engineer,Masters,2,4,198970.4,19897.04
309,Male,Marketing Associate,High School,4,1,134128.8,13412.88
310,Male,Sales Associate,College,1,3,151055.3,15105.53
311,Male,Manager,PhD,5,2,251616.4,25161.64
717,Male,Data Scientist,PhD,4,3,238287.4,23828.74
313,Male,Sales Associate,High School,5,1,149630.25,14963.025
314,Male,IT,College,3,1,164542.74,16454.274
315,Male,IT,Masters,2,1,164542.74,16454.274
316,Male,Software Engineer,Masters,2,1,170087.6,17008.76
317,Male,Warehouse Associate,High School,2,2,139473.36,13947.336
318,Male,Warehouse Associate,High School,5,2,147519.9,14751.99
733,Male,Data Scientist,PhD,5,3,257608,25760.8
320,Male,Sales Associate,High School,5,1,149630.25,14963.025
321,Male,IT,PhD,1,3,173856.48,17385.648
322,Male,Software Engineer,Masters,3,5,232667,23266.7
738,Male,Data Scientist,PhD,3,3,218966.8,21896.68
324,Male,Manager,PhD,5,5,359452,35945.2
325,Male,IT,PhD,2,2,180065.64,18006.564
326,Male,IT,Masters,1,3,169199.61,16919.961
755,Male,Data Scientist,PhD,2,2,186765.8,18676.58
328,Male,Financial Analyst,Masters,1,3,159347.1,15934.71
329,Male,Software Engineer,Masters,4,3,218225.6,21822.56
330,Male,Warehouse Associate,High School,4,2,144837.72,14483.772
331,Male,Marketing Associate,High School,3,1,132839.1,13283.91
332,Male,Marketing Associate,High School,4,2,139287.6,13928.76
333,Male,Manager,College,2,3,201293.12,20129.312
761,Male,Data Scientist,PhD,4,1,186765.8,18676.58
335,Male,Software Engineer,College,4,1,173296.8,17329.68
336,Male,Manager,Masters,4,2,222860.24,22286.024
337,Male,Warehouse Associate,College,3,3,158248.62,15824.862
338,Male,Warehouse Associate,College,5,3,174341.7,17434.17
795,Male,Data Scientist,PhD,2,3,199646.2,19964.62
340,Male,Graphic Designer,High School,3,1,139577.36,13957.736
341,Male,Software Engineer,PhD,1,1,166878.4,16687.84
342,Male,Sales Associate,College,5,3,185256.5,18525.65
343,Male,Marketing Associate,High School,5,2,141867,14186.7
344,Male,IT,PhD,5,2,217320.6,21732.06
345,Male,Financial Analyst,College,1,1,149113.8,14911.38
346,Male,Software Engineer,PhD,1,1,166878.4,16687.84
347,Male,Software Engineer,PhD,4,1,186133.6,18613.36
348,Male,IT,PhD,4,5,279412.2,27941.22
349,Male,Financial Analyst,Masters,1,4,163732.8,16373.28
350,Male,Software Engineer,PhD,5,2,224644,22464.4
351,Male,Software Engineer,PhD,3,1,179715.2,17971.52
819,Male,Data Scientist,PhD,2,1,173885.4,17388.54
353,Male,Sales Associate,High School,5,1,149630.25,14963.025
354,Male,Graphic Designer,High School,5,1,142287.6,14228.76
355,Male,Warehouse Associate,High School,2,1,136791.18,13679.118
829,Male,Data Scientist,PhD,2,3,199646.2,19964.62
357,Male,IT,Masters,2,4,192483.96,19248.396
358,Male,IT,PhD,3,3,211111.44,21111.144
359,Male,Software Engineer,Masters,3,1,174901.4,17490.14
360,Male,Warehouse Associate,High School,2,1,136791.18,13679.118
361,Male,IT,PhD,2,4,204902.28,20490.228
362,Male,IT,Masters,4,3,211111.44,21111.144
363,Male,Warehouse Associate,College,3,3,158248.62,15824.862
364,Male,Financial Analyst,Masters,4,2,181275.6,18127.56
365,Male,Marketing Associate,High School,2,2,134128.8,13412.88
366,Male,Manager,Masters,5,1,206684.9,20668.49
367,Male,Software Engineer,PhD,2,1,173296.8,17329.68
368,Male,Graphic Designer,High School,2,2,140932.48,14093.248
369,Male,Software Engineer,College,3,2,179715.2,17971.52
370,Male,Graphic Designer,High School,1,1,136867.12,13686.712
371,Male,Manager,Masters,4,3,244427.36,24442.736
372,Male,Manager,College,5,2,215671.2,21567.12
373,Male,Graphic Designer,High School,2,2,140932.48,14093.248
374,Male,IT,PhD,3,1,173856.48,17385.648
375,Male,Financial Analyst,Masters,1,3,159347.1,15934.71
376,Male,Software Engineer,PhD,2,2,186133.6,18613.36
833,Male,Data Scientist,PhD,5,1,193206,19320.6
378,Male,Driver,High School,1,2,138496.62,13849.662
847,Male,Data Scientist,PhD,1,3,180325.6,18032.56
380,Male,Sales Associate,High School,1,1,143930.05,14393.005
381,Male,Sales Associate,College,1,2,148205.2,14820.52
382,Male,Sales Associate,College,4,1,153905.4,15390.54
383,Male,Manager,PhD,5,4,323506.8,32350.68
384,Male,Manager,PhD,1,2,194104.08,19410.408
385,Male,Marketing Associate,High School,4,1,134128.8,13412.88
386,Male,Manager,College,2,1,186915.04,18691.504
852,Male,Data Scientist,PhD,3,3,218966.8,21896.68
388,Male,Graphic Designer,High School,3,2,143642.72,14364.272
389,Male,Software Engineer,PhD,4,1,186133.6,18613.36
390,Male,IT,PhD,3,3,211111.44,21111.144
391,Male,Sales Associate,High School,1,1,143930.05,14393.005
392,Male,Software Engineer,PhD,1,3,179715.2,17971.52
857,Male,Data Scientist,PhD,2,1,173885.4,17388.54
394,Male,Sales Associate,High School,3,2,151055.3,15105.53
395,Male,Warehouse Associate,High School,5,2,147519.9,14751.99
396,Male,Sales Associate,High School,2,2,148205.2,14820.52
397,Male,Sales Associate,High School,2,1,145355.1,14535.51
859,Male,Data Scientist,PhD,5,3,257608,25760.8
399,Male,Marketing Associate,College,1,3,136708.2,13670.82
876,Male,Data Scientist,PhD,5,1,193206,19320.6
401,Male,Sales Associate,High School,4,2,153905.4,15390.54
402,Male,Warehouse Associate,High School,5,1,140814.45,14081.445
403,Male,Warehouse Associate,High School,3,2,142155.54,14215.554
404,Male,Warehouse Associate,College,5,2,160930.8,16093.08
405,Male,Marketing Associate,High School,4,1,134128.8,13412.88
406,Male,Financial Analyst,Masters,5,2,190047,19004.7
407,Male,Manager,College,1,1,183320.52,18332.052
408,Male,Graphic Designer,College,2,1,140932.48,14093.248
409,Male,Financial Analyst,Masters,2,1,154961.4,15496.14
410,Male,Financial Analyst,College,2,1,152037.6,15203.76
411,Male,IT,PhD,5,1,186274.8,18627.48
412,Male,Software Engineer,Masters,3,5,232667,23266.7
413,Male,Graphic Designer,High School,3,1,139577.36,13957.736
414,Male,Financial Analyst,Masters,3,3,185661.3,18566.13
415,Male,Software Engineer,PhD,1,4,186133.6,18613.36
416,Male,Marketing Associate,College,3,3,152184.6,15218.46
417,Male,Financial Analyst,College,2,1,152037.6,15203.76
418,Male,Marketing Associate,High School,3,2,136708.2,13670.82
419,Male,Sales Associate,High School,2,2,148205.2,14820.52
420,Male,Manager,Masters,3,3,228252.02,22825.202
421,Male,Driver,High School,3,1,139854.43,13985.443
422,Male,Graphic Designer,College,5,3,176165.6,17616.56
423,Male,Marketing Associate,College,2,1,134128.8,13412.88
888,Male,Data Scientist,PhD,2,3,199646.2,19964.62
425,Male,Manager,Masters,3,1,195901.34,19590.134
905,Male,Data Scientist,PhD,5,3,257608,25760.8
427,Male,IT,College,5,3,201797.7,20179.77
428,Male,Software Engineer,College,1,3,170087.6,17008.76
429,Male,Software Engineer,Masters,2,3,189342.8,18934.28
430,Male,Manager,Masters,2,2,201293.12,20129.312
431,Male,Graphic Designer,High School,4,2,146352.96,14635.296
432,Male,Financial Analyst,Masters,2,3,172504.2,17250.42
433,Male,IT,PhD,1,1,161438.16,16143.816
434,Male,Warehouse Associate,High School,1,1,135450.09,13545.009
435,Male,Manager,PhD,3,2,222860.24,22286.024
436,Male,Software Engineer,College,2,3,179715.2,17971.52
437,Male,IT,PhD,4,5,279412.2,27941.22
438,Male,IT,PhD,3,3,211111.44,21111.144
439,Male,Financial Analyst,Masters,4,3,198818.4,19881.84
440,Male,Manager,College,5,3,233643.8,23364.38
906,Male,Data Scientist,PhD,2,2,186765.8,18676.58
442,Male,Sales Associate,High School,1,1,143930.05,14393.005
443,Male,Software Engineer,Masters,3,5,232667,23266.7
444,Male,IT,College,5,3,201797.7,20179.77
908,Male,Data Scientist,PhD,5,3,257608,25760.8
921,Male,Data Scientist,PhD,2,3,199646.2,19964.62
447,Male,IT,PhD,3,1,173856.48,17385.648
448,Male,Software Engineer,Masters,3,4,218225.6,21822.56
936,Male,Data Scientist,PhD,3,1,180325.6,18032.56
450,Male,Software Engineer,PhD,3,5,256736,25673.6
451,Male,Warehouse Associate,High School,1,1,135450.09,13545.009
452,Male,Warehouse Associate,High School,2,2,139473.36,13947.336
453,Male,Manager,PhD,3,5,287561.6,28756.16
454,Male,Manager,Masters,5,4,287561.6,28756.16
455,Male,Financial Analyst,Masters,2,5,190047,19004.7
456,Male,IT,Masters,2,1,164542.74,16454.274
457,Male,Software Engineer,Masters,2,1,170087.6,17008.76
458,Male,Marketing Associate,High School,4,1,134128.8,13412.88
459,Male,Manager,PhD,1,4,208482.16,20848.216
963,Male,Data Scientist,PhD,2,3,199646.2,19964.62
986,Male,Data Scientist,PhD,2,3,199646.2,19964.62
462,Male,IT,Masters,4,5,248366.4,24836.64
463,Male,Manager,Masters,1,3,195901.34,19590.134
464,Male,IT,Masters,4,4,229738.92,22973.892
993,Male,Data Scientist,PhD,1,2,173885.4,17388.54
466,Male,Manager,College,2,2,194104.08,19410.408
467,Male,Driver,High School,5,2,149359.1,14935.91
468,Male,Driver,High School,2,1,138496.62,13849.662
469,Male,Software Engineer,College,1,3,170087.6,17008.76
1063,Male,Data Scientist,PhD,2,3,199646.2,19964.62
471,Male,Manager,College,2,2,194104.08,19410.408
472,Male,Manager,PhD,3,4,265994.48,26599.448
1070,Male,Data Scientist,PhD,2,3,199646.2,19964.62
474,Male,Financial Analyst,Masters,4,3,198818.4,19881.84
475,Male,Sales Associate,College,1,3,151055.3,15105.53
476,Male,Financial Analyst,Masters,4,4,216361.2,21636.12
477,Male,Manager,PhD,4,1,208482.16,20848.216
478,Male,Manager,PhD,3,1,201293.12,20129.312
479,Male,Warehouse Associate,High School,3,1,138132.27,13813.227
480,Male,Manager,Masters,5,5,314520.5,31452.05
1090,Male,Data Scientist,PhD,1,3,180325.6,18032.56
482,Male,Software Engineer,Masters,3,5,232667,23266.7
483,Male,Warehouse Associate,High School,4,2,144837.72,14483.772
484,Male,Marketing Associate,College,1,3,136708.2,13670.82
485,Male,Manager,College,4,3,222860.24,22286.024
1103,Male,Data Scientist,PhD,3,3,218966.8,21896.68
487,Male,Financial Analyst,Masters,4,3,198818.4,19881.84
488,Male,Sales Associate,High School,2,2,148205.2,14820.52
489,Male,Driver,High School,1,2,138496.62,13849.662
